,LENSID,FLAGTYPE,NIMG,ZLENS,VELDISP,ELLIP,PHIE,GAMMA,PHIG,ZSRC,XSRC,YSRC,MAGI_IN,MAGI,IMSEP,XIMG,YIMG,MAG,DELAY,KAPPA,FSTAR,DD,DDLUM,ABMAG_I,APMAG_I,KCORR,DS,DDS,SIGCRIT,DSLUM,L_I,REFF,REFF_T,weight,ABMAGI_IN
76,13536742,0,2,0.714,238.7811,0.1287831,-155.5475,0.1014012,-92.40017,1.92,-0.09735265,0.1509553,20.59,19.58598,1.650539,"[0.4533, -0.2038, 0.0, 0.0]","[-0.4508, 1.0633, 0.0, 0.0]","[-2.5212, 4.0978, 0.0, 0.0]","[45.685, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1485.48267,4364.04492,-23.0886192,20.8248272,0.713999987,1733.58,861.625,0.0,14781.2,0.0,0.0,0.0,1,-25.97254845371589
77,19629001,0,2,0.832,302.6913,0.4542862,-148.8792,0.0507363,54.83452,2.9,0.9834524,-0.3814564,20.11,21.79827,2.718577,"[2.4526, -0.2553, 0.0, 0.0]","[-0.0653, 0.1754, 0.0, 0.0]","[2.0461, -0.2112, 0.0, 0.0]","[0.0, 439.052, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1568.93469,5265.69629,-23.7992401,20.6400394,0.832000017,1604.51,867.513,0.0,24404.6,0.0,0.0,0.0,1,-27.65935848605583
78,195524803,0,4,2.722,302.6913,0.2303653,147.8381,0.0842898,155.4478,3.29,0.03327269,-0.01247584,23.39,22.22822,0.506179,"[0.264, -0.156, -0.1743, -0.0113]","[-0.1267, -0.1067, 0.1265, 0.1964]","[2.6626, -2.9155, 6.7053, -4.2628]","[0.0, 42.184, 36.406, 38.701]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1631.9967,22608.5117,-25.2167397,24.276619,2.72199988,1543.17,127.25,0.0,28400.7,0.0,0.0,0.0,1,-26.598645101782864
79,8357565,0,4,0.59,170.2159,0.642127,53.98476,0.04152913,95.40789,1.66,-0.1162304,0.1369023,20.57,19.7866,0.8999646,"[-0.5354, 0.1585, 0.0144, -0.5062]","[-0.0601, -0.1291, 0.6524, 0.1832]","[4.7306, -0.3341, 2.0576, -3.6513]","[5.929, 20.453, 0.0, 6.196]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1368.15576,3458.83398,-22.1077404,21.1769085,0.589999974,1746.99,929.185,0.0,12361.0,0.0,0.0,0.0,1,-25.480268006127375
80,64086964,0,2,1.428,210.3778,0.2175455,-131.5873,0.08014044,-30.00018,2.45,-0.0201528,0.1704472,22.83,22.93049,0.6836275,"[0.0343, -0.097, 0.0, 0.0]","[-0.1692, 0.5017, 0.0, 0.0]","[-0.9116, 3.4723, 0.0, 0.0]","[50.85, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1741.48425,10266.3701,-23.2919197,23.1931648,1.42799997,1672.07,446.464,0.0,19901.8,0.0,0.0,0.0,1,-25.092461757755803
81,6008056,0,2,0.52,142.5608,0.2790452,131.2267,0.03139735,-179.565,3.16,-0.1656507,-0.09007142,22.33,22.63989,0.7981208,"[-0.5828, 0.1713, 0.0, 0.0]","[-0.1455, 0.1159, 0.0, 0.0]","[3.6845, -0.7517, 0.0, 0.0]","[0.0, 11.762, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1285.27393,2969.49683,-21.5901604,21.2932549,0.519999981,1563.61,1093.99,0.0,27059.2,0.0,0.0,0.0,1,-25.351574744096386
82,46236308,0,2,1.218,218.273,0.1062599,151.0082,0.02535219,177.5994,3.22,0.2707473,-0.2209291,23.07,23.27061,1.215038,"[0.7893, -0.1898, 0.0, 0.0]","[-0.5499, 0.1696, 0.0, 0.0]","[2.3675, -0.8313, 0.0, 0.0]","[0.0, 105.664, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1714.25903,8433.33789,-23.2310581,22.6169395,1.21800005,1554.16,653.154,0.0,27677.1,0.0,0.0,0.0,1,-25.358602964476738
83,22505300,0,2,0.882,217.771,0.3875998,1.897287,0.05791444,-51.7739,2.54,-0.218308,0.1505711,21.01,20.48896,1.389944,"[0.2266, -0.902, 0.0, 0.0]","[-0.3665, 0.4448, 0.0, 0.0]","[-1.6159, 2.2609, 0.0, 0.0]","[67.363, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1597.55444,5658.41602,-22.9730206,21.6724529,0.882000029,1659.21,809.884,0.0,20792.6,0.0,0.0,0.0,1,-26.4615440232889
84,77520511,0,2,1.574,266.0725,0.09864519,-123.6652,0.07421567,129.6939,2.99,0.2545636,-0.00127518,23.41,23.19686,1.209715,"[0.851, -0.3479, 0.0, 0.0]","[-0.1668, -0.0054, 0.0, 0.0]","[3.6464, -1.2169, 0.0, 0.0]","[0.0, 131.192, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1747.29883,11576.6855,-24.017498,22.8744221,1.574,1590.41,463.205,0.0,25319.5,0.0,0.0,0.0,1,-25.181275625726393
85,20000600,0,4,0.84,143.8799,0.5453959,82.45671,0.0489559,94.98603,1.96,0.09817085,-0.00142829,22.97,21.88298,0.5281954,"[0.1941, 0.3077, -0.1248, 0.2281]","[-0.273, -0.0552, 0.0103, 0.2541]","[3.1487, -2.8021, -0.4177, 2.7215]","[0.683, 1.379, 9.157, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1573.77795,5328.18213,-21.8543205,22.6185741,0.839999974,1730.18,751.881,0.0,15159.1,0.0,0.0,0.0,1,-23.773367063383745
86,66074330,0,2,1.45,279.2544,0.1108331,160.0734,0.06362433,-93.8489,2.1,-0.1662657,0.2197946,22.89,23.22532,0.9361611,"[0.1104, -0.39, 0.0, 0.0]","[-0.1512, 0.64, 0.0, 0.0]","[-0.7343, 2.4522, 0.0, 0.0]","[152.751, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1742.93457,10461.9658,-24.0513401,22.496727,1.45000005,1716.41,338.934,0.0,16494.7,0.0,0.0,0.0,1,-24.64672215576347
87,16296372,0,2,0.77,271.0192,0.2149637,11.62227,0.02567216,-31.83319,3.77,0.2371287,0.3895052,23.23,22.8476,2.521228,"[-0.2848, 1.2537, 0.0, 0.0]","[-0.7814, 1.216, 0.0, 0.0]","[-1.4222, 3.7103, 0.0, 0.0]","[145.438, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1528.10999,4787.41553,-23.4628181,20.7076874,0.769999981,1468.62,901.584,0.0,33415.4,0.0,0.0,0.0,1,-25.159733302126632
88,29229856,0,4,0.988,228.5599,0.5579514,37.43662,0.03363725,129.3107,1.83,0.05951058,-0.04928329,23.23,22.35119,1.068672,"[-0.2644, 0.2942, 0.5724, -0.2437]","[-0.4982, -0.4489, 0.1665, 0.2935]","[3.3528, -2.2466, 2.8654, -0.9552]","[5.082, 11.355, 0.0, 29.792]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1647.09351,6509.5498,-23.1793575,21.8763981,0.987999976,1740.0,582.957,0.0,13935.5,0.0,0.0,0.0,1,-23.47861275418
